B,n,mean_s,sd_s,total_s,total_tokens,cv,request_throughput_req_s,token_throughput_tok_s,fraction_at_token_cap,unique_prompts
1,10,3.8677888297999914,0.288542773575922,38.677888297999914,951,0.07460148065809553,0.25854565593016393,24.58769187895859,0.9,10
2,10,3.795353710899991,0.2751520275687609,37.95353710899991,1911,0.07249707103149397,0.526960107632693,50.35103828430381,0.95,20
4,10,4.381716089300016,2.205482732126547,43.817160893000164,3831,0.5033376620434746,0.9128843399433951,87.43149765807867,0.975,40
8,10,3.7996469861000035,0.2750266054574389,37.99646986100004,7658,0.07238214667403327,2.105458751632946,201.54503900006378,0.975,80
16,10,3.878998710199994,0.29413580407640183,38.78998710199994,15329,0.07582776537227483,4.124775797921075,395.17930128957596,0.98125,100
32,10,4.014889856499996,0.3027065762943313,40.14889856499997,30645,0.07539598522341968,7.970330729793964,763.283703795425,0.978125,100
